,SPY,QQQ,EEM,VT,ESGV,VSGX,VTI,GLD,cash_balance,total_value
2020-12-07,37,42,35,23,33,22,30,0,-22939.869972229004,16778.13990020752
2020-12-08,38,43,36,24,34,23,31,0,-24079.819999694824,16906.591060638428
2020-12-09,39,44,37,25,35,24,32,0,-25205.660007476807,16362.460269927979
2020-12-10,40,45,38,26,36,25,33,0,-26334.10001373291,16458.980144500732
2020-12-11,41,46,39,27,37,26,34,0,-27460.18999862671,16372.079524993896
2020-12-12,41,46,39,27,37,26,34,0,-27460.18999862671,16372.079524993896
2020-12-13,41,46,39,27,37,26,34,0,-27460.18999862671,16372.079524993896
2020-12-14,42,47,40,28,38,27,35,0,-28585.260005950928,16349.550384521484
2020-12-15,43,48,41,29,39,28,36,0,-29724.330013275146,16905.390350341797
2020-12-16,44,49,42,30,40,29,37,0,-30866.800033569336,17050.570957183838
2020-12-17,45,50,43,31,41,30,38,0,-32016.750030517578,17361.72975540161
2020-12-18,46,51,44,32,42,31,39,0,-33160.83002471924,17111.169673919678
2020-12-19,46,51,44,32,42,31,39,0,-33160.83002471924,17111.169673919678
2020-12-20,46,51,44,32,42,31,39,0,-33160.83002471924,17111.169673919678
2020-12-21,47,52,45,33,43,32,40,0,-34299.090030670166,16870.620239257812
2020-12-22,48,53,46,34,44,33,41,0,-35437.010025024414,16863.369773864746
2020-12-23,49,54,47,35,45,34,42,0,-36575.50003814697,16865.290702819824
2020-12-24,50,55,48,36,46,35,43,0,-37716.55004119873,16997.62010574341
2020-12-25,50,55,48,36,46,35,43,0,-37716.55004119873,16997.62010574341
2020-12-26,50,55,48,36,46,35,43,0,-37716.55004119873,16997.62010574341
2020-12-27,50,55,48,36,46,35,43,0,-37716.55004119873,16997.62010574341
2020-12-28,51,56,49,37,47,36,44,0,-38866.370040893555,17431.469944000244
2020-12-29,52,57,50,38,48,37,45,0,-40016.200019836426,17427.808849334717
2020-12-30,53,58,51,39,49,38,46,0,-41168.54001617432,17543.24977493286
2020-12-31,54,59,52,40,50,39,47,0,-42324.49000930786,17733.839553833008
2021-01-01,54,59,52,40,50,39,47,0,-42324.49000930786,17733.839553833008
2021-01-02,54,59,52,40,50,39,47,0,-42324.49000930786,17733.839553833008
2021-01-03,54,59,52,40,50,39,47,0,-42324.49000930786,17733.839553833008
2021-01-04,55,60,53,41,51,40,48,0,-43467.330017089844,17029.63037109375
2021-01-05,56,61,54,42,52,41,49,0,-44620.23998641968,17555.80825805664
2021-01-06,57,62,55,43,53,42,50,0,-45773.59998703003,17534.180053710938
2021-01-07,58,63,56,44,54,43,51,0,-46945.91999435425,18608.680549621582
2021-01-08,59,64,57,45,55,44,52,0,-48128.990005493164,19216.15062713623
